VIOLENT,SEX,NEUTRAL,GROUP,SCORE
1,2,4,Violent,1
2,4,1,Violent,2
1,0,3,Violent,1
2,0,3,Violent,2
4,2,1,Violent,4
0,0,6,Violent,0
2,2,3,Violent,2
3,0,4,Violent,3
0,2,4,Violent,0
2,3,2,Violent,2
2,0,5,Violent,2
3,1,5,Violent,3
0,0,3,Violent,0
1,2,2,Violent,1
0,0,4,Violent,0
0,0,4,Violent,0
2,1,4,Violent,2
3,0,7,Violent,3
0,3,4,Violent,0
0,0,2,Violent,0
0,0,2,Violent,0
2,3,6,Violent,2
3,2,5,Violent,3
5,2,7,Violent,5
3,1,6,Violent,3
0,0,7,Violent,0
2,1,1,Violent,2
3,1,2,Violent,3
2,6,2,Violent,2
1,0,3,Violent,1
2,2,3,Violent,2
0,2,4,Violent,0
0,1,0,Violent,0
3,2,5,Violent,3
4,0,3,Violent,4
3,4,6,Violent,3
4,1,3,Violent,4
0,5,1,Violent,0
4,2,6,Violent,4
1,6,1,Violent,1
1,1,3,Violent,1
4,0,3,Violent,4
0,3,3,Violent,0
4,3,0,Violent,4
1,1,4,Violent,1
5,0,4,Violent,5
1,0,3,Violent,1
1,1,3,Violent,1
2,4,1,Violent,2
4,0,3,Violent,4
1,2,5,Violent,1
6,0,7,Violent,6
2,0,0,Violent,2
2,5,3,Violent,2
4,2,2,Violent,4
1,1,3,Violent,1
2,2,7,Violent,2
4,3,3,Violent,4
0,3,1,Violent,0
3,0,2,Violent,3
3,2,5,Violent,3
0,0,1,Violent,0
3,2,3,Violent,3
1,3,3,Violent,1
2,0,2,Violent,2
7,1,2,Violent,7
2,2,3,Violent,2
0,5,3,Violent,0
0,0,3,Violent,0
3,1,0,Violent,3
1,1,0,Violent,1
5,0,0,Violent,5
4,1,3,Violent,4
2,1,2,Violent,2
4,1,0,Violent,4
0,1,2,Violent,0
1,5,3,Violent,1
0,3,2,Violent,0
1,0,4,Violent,1
2,0,6,Violent,2
5,2,4,Violent,5
2,0,2,Violent,2
2,0,0,Violent,2
5,4,6,Violent,5
0,3,2,Violent,0
3,0,1,Violent,3
5,2,3,Violent,5
5,2,5,Violent,5
0,3,2,Violent,0
0,1,2,Violent,0
6,1,7,Violent,6
0,7,5,Violent,0
2,4,4,Violent,2
0,3,3,Violent,0
2,1,3,Violent,2
2,3,2,Violent,2
1,0,6,Violent,1
3,1,2,Violent,3
0,4,4,Violent,0
4,0,4,Violent,4
1,2,1,Violent,1
2,3,2,Violent,2
3,4,2,Violent,3
2,4,5,Violent,2
3,4,4,Violent,3
0,0,3,Violent,0
6,0,4,Violent,6
2,4,3,Violent,2
,,,Sex,2
,,,Sex,4
,,,Sex,0
,,,Sex,0
,,,Sex,2
,,,Sex,0
,,,Sex,2
,,,Sex,0
,,,Sex,2
,,,Sex,3
,,,Sex,0
,,,Sex,1
,,,Sex,0
,,,Sex,2
,,,Sex,0
,,,Sex,0
,,,Sex,1
,,,Sex,0
,,,Sex,3
,,,Sex,0
,,,Sex,0
,,,Sex,3
,,,Sex,2
,,,Sex,2
,,,Sex,1
,,,Sex,0
,,,Sex,1
,,,Sex,1
,,,Sex,6
,,,Sex,0
,,,Sex,2
,,,Sex,2
,,,Sex,1
,,,Sex,2
,,,Sex,0
,,,Sex,4
,,,Sex,1
,,,Sex,5
,,,Sex,2
,,,Sex,6
,,,Sex,1
,,,Sex,0
,,,Sex,3
,,,Sex,3
,,,Sex,1
,,,Sex,0
,,,Sex,0
,,,Sex,1
,,,Sex,4
,,,Sex,0
,,,Sex,2
,,,Sex,0
,,,Sex,0
,,,Sex,5
,,,Sex,2
,,,Sex,1
,,,Sex,2
,,,Sex,3
,,,Sex,3
,,,Sex,0
,,,Sex,2
,,,Sex,0
,,,Sex,2
,,,Sex,3
,,,Sex,0
,,,Sex,1
,,,Sex,2
,,,Sex,5
,,,Sex,0
,,,Sex,1
,,,Sex,1
,,,Sex,0
,,,Sex,1
,,,Sex,1
,,,Sex,1
,,,Sex,1
,,,Sex,5
,,,Sex,3
,,,Sex,0
,,,Sex,0
,,,Sex,2
,,,Sex,0
,,,Sex,0
,,,Sex,4
,,,Sex,3
,,,Sex,0
,,,Sex,2
,,,Sex,2
,,,Sex,3
,,,Sex,1
,,,Sex,1
,,,Sex,7
,,,Sex,4
,,,Sex,3
,,,Sex,1
,,,Sex,3
,,,Sex,0
,,,Sex,1
,,,Sex,4
,,,Sex,0
,,,Sex,2
,,,Sex,3
,,,Sex,4
,,,Sex,4
,,,Sex,4
,,,Sex,0
,,,Sex,0
,,,Sex,4
,,,Neutral,4
,,,Neutral,1
,,,Neutral,3
,,,Neutral,3
,,,Neutral,1
,,,Neutral,6
,,,Neutral,3
,,,Neutral,4
,,,Neutral,4
,,,Neutral,2
,,,Neutral,5
,,,Neutral,5
,,,Neutral,3
,,,Neutral,2
,,,Neutral,4
,,,Neutral,4
,,,Neutral,4
,,,Neutral,7
,,,Neutral,4
,,,Neutral,2
,,,Neutral,2
,,,Neutral,6
,,,Neutral,5
,,,Neutral,7
,,,Neutral,6
,,,Neutral,7
,,,Neutral,1
,,,Neutral,2
,,,Neutral,2
,,,Neutral,3
,,,Neutral,3
,,,Neutral,4
,,,Neutral,0
,,,Neutral,5
,,,Neutral,3
,,,Neutral,6
,,,Neutral,3
,,,Neutral,1
,,,Neutral,6
,,,Neutral,1
,,,Neutral,3
,,,Neutral,3
,,,Neutral,3
,,,Neutral,0
,,,Neutral,4
,,,Neutral,4
,,,Neutral,3
,,,Neutral,3
,,,Neutral,1
,,,Neutral,3
,,,Neutral,5
,,,Neutral,7
,,,Neutral,0
,,,Neutral,3
,,,Neutral,2
,,,Neutral,3
,,,Neutral,7
,,,Neutral,3
,,,Neutral,1
,,,Neutral,2
,,,Neutral,5
,,,Neutral,1
,,,Neutral,3
,,,Neutral,3
,,,Neutral,2
,,,Neutral,2
,,,Neutral,3
,,,Neutral,3
,,,Neutral,3
,,,Neutral,0
,,,Neutral,0
,,,Neutral,0
,,,Neutral,3
,,,Neutral,2
,,,Neutral,0
,,,Neutral,2
,,,Neutral,3
,,,Neutral,2
,,,Neutral,4
,,,Neutral,6
,,,Neutral,4
,,,Neutral,2
,,,Neutral,0
,,,Neutral,6
,,,Neutral,2
,,,Neutral,1
,,,Neutral,3
,,,Neutral,5
,,,Neutral,2
,,,Neutral,2
,,,Neutral,7
,,,Neutral,5
,,,Neutral,4
,,,Neutral,3
,,,Neutral,3
,,,Neutral,2
,,,Neutral,6
,,,Neutral,2
,,,Neutral,4
,,,Neutral,4
,,,Neutral,1
,,,Neutral,2
,,,Neutral,2
,,,Neutral,5
,,,Neutral,4
,,,Neutral,3
,,,Neutral,4
,,,Neutral,3
