carrier,dep_delay
DL,-6
DL,-9
DL,0
DL,-3
DL,1
DL,-4
DL,241
DL,-2
DL,-4
DL,-5
DL,126
DL,-6
DL,6
DL,1
DL,-8
DL,22
DL,-5
DL,-3
DL,168
DL,-5
DL,-9
DL,-2
DL,24
DL,87
DL,-1
DL,-5
DL,2
DL,-6
DL,-2
DL,-5
DL,31
DL,17
DL,-5
DL,21
DL,-3
DL,-4
DL,11
DL,-5
DL,66
DL,-5
DL,-4
DL,205
DL,-4
DL,-3
DL,-5
DL,-3
DL,-6
DL,-7
DL,-7
DL,-3
DL,-2
DL,-5
DL,-2
DL,23
DL,18
DL,3
DL,13
DL,-1
DL,-1
DL,62
DL,-5
DL,-5
DL,-7
DL,-1
DL,-2
DL,0
DL,11
DL,-2
DL,-3
DL,-8
DL,-8
DL,-3
DL,-15
DL,-4
DL,-5
DL,0
DL,-5
DL,-4
DL,-7
DL,183
